                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98214,                0.61373,                0.98184,                0.76617,                 0.5507,                0.63941,                0.41546,                 1.1553,                0.81883,                 1.0444,             0.00033181,             0.00033181,             0.00033181
                      2,                 1.0164,                0.64984,                0.99545,                0.75713,                0.53792,                0.61782,                0.40103,                 1.1724,                0.85357,                 1.0574,             0.00063222,             0.00063222,             0.00063222
                      3,                 1.0287,                0.67267,                0.99807,                0.70721,                0.53473,                0.59886,                0.37907,                 1.2053,                0.88234,                 1.0692,             0.00089963,             0.00089963,             0.00089963
                      4,                 1.0534,                0.69103,                 1.0078,                0.71619,                0.52405,                 0.5886,                0.37812,                  1.206,                0.88406,                 1.0659,              0.0008515,              0.0008515,              0.0008515
                      5,                 1.0505,                0.68768,                 1.0055,                0.76295,                0.51222,                0.59968,                0.38467,                 1.1829,                 0.8832,                 1.0675,              0.0008515,              0.0008515,              0.0008515
                      6,                 1.0431,                 0.6813,                 1.0039,                0.74407,                0.55293,                0.61414,                0.39531,                 1.1758,                0.84452,                 1.0535,               0.000802,               0.000802,               0.000802
                      7,                 1.0308,                0.67219,                 0.9964,                0.75755,                0.54333,                0.61556,                0.39516,                 1.1655,                0.84978,                  1.048,              0.0007525,              0.0007525,              0.0007525
                      8,                  1.021,                0.65522,                0.99503,                0.72777,                0.55829,                  0.624,                0.40154,                 1.1793,                0.82855,                   1.05,               0.000703,               0.000703,               0.000703
                      9,                  1.018,                0.64922,                0.98836,                0.75636,                0.54506,                0.62055,                0.40462,                 1.1595,                0.82704,                 1.0503,              0.0006535,              0.0006535,              0.0006535
                     10,                0.99245,                0.63158,                0.98486,                0.75046,                 0.5556,                0.62572,                0.40965,                  1.149,                0.80853,                 1.0441,               0.000604,               0.000604,               0.000604
                     11,                 1.0073,                0.62673,                0.98803,                0.75233,                0.53226,                0.60601,                 0.3966,                 1.1474,                0.84377,                 1.0381,              0.0005545,              0.0005545,              0.0005545
                     12,                0.99231,                0.61506,                0.98097,                 0.7705,                0.53206,                0.61797,                0.40059,                 1.1582,                0.83159,                 1.0481,               0.000505,               0.000505,               0.000505
                     13,                0.97554,                0.59872,                0.97593,                0.77061,                0.52752,                0.62145,                0.40722,                 1.1525,                0.81936,                 1.0508,              0.0004555,              0.0004555,              0.0004555
                     14,                0.96586,                0.58117,                0.96799,                0.74115,                0.59609,                0.64884,                0.42518,                 1.1395,                0.78215,                 1.0447,               0.000406,               0.000406,               0.000406
                     15,                0.95064,                0.56865,                0.96308,                0.75614,                0.57657,                0.64312,                0.41751,                 1.1399,                0.78385,                 1.0389,              0.0003565,              0.0003565,              0.0003565
                     16,                0.93388,                0.55553,                0.95721,                0.79422,                0.55091,                0.64525,                0.42633,                  1.113,                0.78314,                 1.0347,               0.000307,               0.000307,               0.000307
                     17,                0.92454,                0.54485,                0.95294,                0.75355,                0.57423,                0.64134,                0.42454,                 1.1178,                0.78167,                 1.0392,              0.0002575,              0.0002575,              0.0002575
                     18,                0.90897,                0.52929,                0.94759,                0.79226,                0.56351,                0.65356,                 0.4325,                 1.1103,                0.76571,                 1.0364,               0.000208,               0.000208,               0.000208
                     19,                0.89887,                 0.5181,                0.94067,                0.76775,                0.58044,                0.65471,                0.43275,                 1.1108,                0.77499,                 1.0335,              0.0001585,              0.0001585,              0.0001585
                     20,                0.88371,                0.50738,                0.93434,                 0.7706,                0.59341,                0.65828,                0.43671,                  1.106,                0.76672,                 1.0356,               0.000109,               0.000109,               0.000109
