Class,Precision,Recall,mAP50,mAP50-95
person,0.8496975644016124,0.49311865391546733,0.6210524179913168,0.3502113490192013
bicycle,0.6970611125160611,0.648,0.6558342870752849,0.40864681102184586
car,0.8471514129423404,0.70375775264502,0.8000873968140403,0.5681889754089862
motorcycle,0.7499033437024347,0.7284400400704255,0.759528992489321,0.5032381866074067
bus,0.751960467378022,0.5166666666666667,0.576398940818327,0.44619153805715356
truck,0.7276937006822658,0.47158985278752347,0.5400168616920937,0.3466793947694468
