Class,Precision,Recall,mAP50,mAP50-95
person,0.8326358945055008,0.4792939579090292,0.5924219778556079,0.3343693262543831
bicycle,0.7170421369233828,0.6376811594202898,0.6762811803621693,0.40197015623230603
car,0.838831010627339,0.7151060070671378,0.8011076276958953,0.5623568356993213
motorcycle,0.7095748312515572,0.68,0.7236260592354448,0.4765356788302884
bus,0.7809233720956116,0.5401296039546193,0.5808186391237725,0.45224018027709806
truck,0.7366339453376254,0.43115124153498874,0.5460564389638293,0.34428007354856766
