                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0229,                0.65654,                      1,                  0.725,                0.55146,                0.61825,                0.39987,                 1.1706,                0.84242,                 1.0625,             0.00033143,             0.00033143,             0.00033143
                      2,                 1.0549,                0.69674,                 1.0117,                 0.6981,                0.53702,                0.59609,                0.37857,                 1.2256,                0.91518,                 1.0833,             0.00063186,             0.00063186,             0.00063186
                      3,                 1.0798,                0.72869,                 1.0206,                0.69307,                0.53241,                0.58534,                0.37282,                 1.2151,                0.91503,                 1.0711,             0.00089928,             0.00089928,             0.00089928
                      4,                 1.0959,                0.73798,                  1.028,                0.65362,                0.49888,                0.55595,                0.35242,                 1.2187,                0.97723,                 1.0771,              0.0008515,              0.0008515,              0.0008515
                      5,                 1.0896,                0.72791,                 1.0282,                 0.7503,                0.50376,                0.58276,                 0.3661,                 1.2175,                0.92838,                 1.0796,              0.0008515,              0.0008515,              0.0008515
                      6,                 1.0891,                0.72209,                 1.0226,                 0.7164,                0.53475,                0.59616,                0.37385,                 1.1907,                 0.9029,                 1.0688,               0.000802,               0.000802,               0.000802
                      7,                 1.0709,                0.71166,                  1.021,                0.71655,                0.53679,                0.59054,                0.37097,                 1.2065,                0.89341,                 1.0778,              0.0007525,              0.0007525,              0.0007525
                      8,                 1.0629,                0.69513,                 1.0147,                0.73315,                 0.5399,                0.60947,                0.39326,                 1.1721,                0.86911,                 1.0586,               0.000703,               0.000703,               0.000703
                      9,                 1.0396,                0.68047,                 1.0045,                 0.7314,                0.53807,                0.60614,                0.38353,                 1.1803,                0.87491,                 1.0643,              0.0006535,              0.0006535,              0.0006535
                     10,                 1.0381,                0.66988,                 1.0025,                0.71854,                0.57872,                 0.6344,                0.40491,                 1.1574,                0.85825,                 1.0567,               0.000604,               0.000604,               0.000604
                     11,                 1.0327,                0.66605,                 1.0026,                0.74153,                0.53476,                 0.6033,                0.39003,                 1.1744,                0.86813,                 1.0656,              0.0005545,              0.0005545,              0.0005545
                     12,                 1.0242,                0.64681,                 1.0008,                0.72722,                0.53311,                0.60204,                0.38751,                 1.1798,                0.86907,                 1.0626,               0.000505,               0.000505,               0.000505
                     13,                 1.0112,                0.63154,                0.99145,                0.72262,                0.55002,                0.61064,                0.39809,                 1.1739,                0.85018,                 1.0599,              0.0004555,              0.0004555,              0.0004555
                     14,                0.99528,                0.61515,                0.98638,                0.75148,                0.54535,                0.62058,                 0.3987,                 1.1597,                0.83063,                 1.0547,               0.000406,               0.000406,               0.000406
                     15,                0.98105,                0.60045,                0.98188,                0.72605,                0.56979,                0.62919,                0.40524,                 1.1585,                0.82526,                 1.0575,              0.0003565,              0.0003565,              0.0003565
                     16,                0.96637,                 0.5917,                0.97607,                0.75172,                 0.5489,                0.62454,                0.40408,                 1.1416,                0.82103,                 1.0492,               0.000307,               0.000307,               0.000307
                     17,                0.95412,                0.57743,                0.96958,                0.75161,                0.56094,                0.63576,                0.41566,                 1.1417,                0.80165,                 1.0478,              0.0002575,              0.0002575,              0.0002575
                     18,                0.93551,                0.56039,                0.95799,                0.80742,                0.54941,                0.64113,                0.41667,                 1.1311,                0.79512,                 1.0419,               0.000208,               0.000208,               0.000208
                     19,                0.91664,                0.54543,                0.95381,                0.76759,                0.58099,                0.65343,                0.42733,                 1.1288,                0.78739,                 1.0463,              0.0001585,              0.0001585,              0.0001585
                     20,                0.90696,                0.53171,                0.94532,                0.76309,                0.57265,                0.64417,                0.42387,                 1.1199,                0.78944,                 1.0459,               0.000109,               0.000109,               0.000109
