                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.92884,                0.56457,                0.95271,                0.76845,                0.57016,                0.65789,                 0.4386,                  1.125,                0.75638,                 1.0396,             0.00033225,             0.00033225,             0.00033225
                      2,                0.95873,                  0.595,                0.96296,                0.77959,                0.55964,                0.64937,                0.43412,                 1.1397,                0.79438,                 1.0462,             0.00063263,             0.00063263,             0.00063263
                      3,                0.97964,                0.61669,                0.97071,                0.77161,                0.54784,                0.63586,                0.41839,                 1.1548,                0.81612,                 1.0487,             0.00090002,             0.00090002,             0.00090002
                      4,                0.99439,                0.63253,                0.97772,                0.72419,                0.56375,                0.63546,                0.41354,                 1.1493,                0.82139,                 1.0451,              0.0008515,              0.0008515,              0.0008515
                      5,                0.99505,                0.63447,                 0.9774,                0.80073,                0.55422,                0.65249,                0.42342,                 1.1494,                 0.8018,                 1.0582,              0.0008515,              0.0008515,              0.0008515
                      6,                0.99929,                0.62696,                0.97626,                0.75239,                0.57541,                0.64719,                0.42992,                 1.1281,                  0.799,                 1.0343,               0.000802,               0.000802,               0.000802
                      7,                0.97446,                0.60958,                0.96997,                0.80025,                0.55009,                0.65294,                0.42953,                 1.1326,                0.77517,                 1.0434,              0.0007525,              0.0007525,              0.0007525
                      8,                0.97384,                0.60652,                0.96837,                0.76099,                0.57454,                0.65294,                0.43084,                 1.1451,                0.77796,                 1.0414,               0.000703,               0.000703,               0.000703
                      9,                0.95908,                0.59227,                 0.9614,                0.75827,                0.58571,                0.66196,                 0.4339,                  1.124,                0.77327,                 1.0416,              0.0006535,              0.0006535,              0.0006535
                     10,                0.94939,                0.58214,                0.95592,                  0.754,                0.58534,                 0.6551,                0.43457,                 1.1271,                0.77648,                 1.0373,               0.000604,               0.000604,               0.000604
                     11,                0.94948,                0.56884,                0.96004,                0.77513,                0.57859,                0.66071,                 0.4388,                 1.1221,                0.75856,                 1.0396,              0.0005545,              0.0005545,              0.0005545
                     12,                0.93785,                0.55998,                0.95557,                0.74407,                 0.5829,                0.65334,                0.43006,                 1.1188,                0.77184,                 1.0311,               0.000505,               0.000505,               0.000505
                     13,                0.92467,                0.54701,                 0.9468,                0.75364,                0.56204,                0.65112,                0.43378,                 1.1163,                0.77597,                 1.0326,              0.0004555,              0.0004555,              0.0004555
                     14,                0.91667,                0.53675,                0.94283,                0.77213,                0.58045,                0.65813,                0.43988,                 1.1171,                 0.7561,                 1.0363,               0.000406,               0.000406,               0.000406
                     15,                0.90637,                0.52929,                0.94166,                0.78067,                0.57115,                0.66062,                0.43941,                 1.1132,                0.75719,                 1.0352,              0.0003565,              0.0003565,              0.0003565
                     16,                0.89655,                0.51667,                0.93621,                0.77632,                0.59127,                0.67077,                0.44789,                 1.1086,                0.73783,                 1.0348,               0.000307,               0.000307,               0.000307
                     17,                0.87483,                0.50211,                0.92882,                0.79361,                0.58973,                0.67139,                0.45018,                 1.1047,                0.73587,                 1.0336,              0.0002575,              0.0002575,              0.0002575
                     18,                0.86222,                0.49124,                0.92214,                0.75676,                0.60572,                0.67031,                0.45119,                 1.1032,                0.74098,                 1.0378,               0.000208,               0.000208,               0.000208
                     19,                0.85375,                0.48103,                0.92084,                0.76065,                0.60622,                0.66978,                0.44729,                 1.1037,                0.74278,                 1.0354,              0.0001585,              0.0001585,              0.0001585
                     20,                0.84156,                0.47278,                0.91526,                0.76199,                0.60587,                0.67164,                0.44979,                 1.1017,                0.73105,                 1.0346,               0.000109,               0.000109,               0.000109
