Class,Precision,Recall,mAP50,mAP50-95
person,0.8496375781501337,0.520227207850114,0.6383048545420031,0.3584240289453079
bicycle,0.722077154154348,0.6319765266234482,0.6591425947216799,0.4343240241705514
car,0.8346362960520356,0.7222222222222222,0.8066469853616589,0.5754115053759469
motorcycle,0.7293958912659255,0.7137254901960784,0.7516624877422996,0.5075516537441733
bus,0.6882104425933929,0.548490018229852,0.6026176304297436,0.46275655438785207
truck,0.7290831297488306,0.5031847133757962,0.5692837994831822,0.3718543408088585
