Class,Precision,Recall,mAP50,mAP50-95
person,0.7365823795504771,0.4322429906542056,0.5167811750866742,0.27040330582737837
bicycle,0.45963769281987155,0.43243243243243246,0.467720377591118,0.2772381456494658
car,0.7424226218208246,0.639877198235197,0.7239436727291937,0.48179415930620284
motorcycle,0.6171224564091665,0.5161290322580645,0.5776091566858981,0.32089387496328753
bus,0.7031469688448742,0.2962962962962963,0.39059888343085314,0.3211262851935892
truck,0.6548451570212847,0.4090909090909091,0.45758009009478146,0.2890083527238416
