Class,Precision,Recall,mAP50,mAP50-95
person,0.8711140347780129,0.5202254641909815,0.6490681836778569,0.3710322568597818
bicycle,0.7479994375834907,0.6346153846153846,0.6856947331068812,0.44182849911911637
car,0.8722635861766767,0.7118522820119786,0.8172333638930007,0.5845541555822861
motorcycle,0.7519274472122287,0.7256944444444444,0.7700810425490894,0.5254985273063945
bus,0.7064909079313624,0.5568181818181818,0.5980007985077935,0.46239535446041824
truck,0.7648166390166671,0.4948805460750853,0.5788632930097863,0.38574175086240614
