                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.91308,                0.54443,                0.94723,                0.77374,                 0.5865,                0.66636,                0.44513,                 1.1083,                0.74545,                 1.0326,             0.00033238,             0.00033238,             0.00033238
                      2,                0.93903,                 0.5707,                0.95131,                0.75299,                0.57416,                0.65292,                0.43425,                 1.1304,                 0.7704,                 1.0383,             0.00063276,             0.00063276,             0.00063276
                      3,                0.96264,                0.59449,                0.96316,                0.74341,                0.56235,                0.63302,                0.41813,                 1.1451,                0.78735,                 1.0525,             0.00090014,             0.00090014,             0.00090014
                      4,                 0.9677,                0.59954,                0.96545,                 0.7475,                0.57156,                0.64139,                0.42461,                  1.129,                0.78813,                 1.0377,              0.0008515,              0.0008515,              0.0008515
                      5,                0.97276,                0.60428,                0.96622,                0.75435,                0.56873,                 0.6478,                0.42721,                 1.1302,                0.77087,                 1.0354,              0.0008515,              0.0008515,              0.0008515
                      6,                0.96389,                0.59446,                0.96191,                0.73833,                0.58672,                0.65334,                0.43471,                  1.122,                0.76195,                 1.0355,               0.000802,               0.000802,               0.000802
                      7,                0.96504,                0.59082,                0.96254,                0.73861,                0.61066,                0.66584,                0.44356,                 1.1128,                0.76124,                 1.0339,              0.0007525,              0.0007525,              0.0007525
                      8,                0.95189,                0.58358,                0.95837,                0.75847,                0.57114,                0.64841,                0.43023,                 1.1117,                0.78367,                 1.0373,               0.000703,               0.000703,               0.000703
                      9,                0.94291,                0.57549,                0.95456,                0.74853,                0.59116,                0.65424,                0.43555,                 1.1189,                0.77062,                 1.0403,              0.0006535,              0.0006535,              0.0006535
                     10,                0.93148,                0.56096,                0.94959,                0.75428,                0.58381,                 0.6575,                0.44157,                  1.103,                0.74539,                 1.0348,               0.000604,               0.000604,               0.000604
                     11,                0.93111,                0.54892,                0.95124,                0.77385,                0.57846,                0.66152,                0.44092,                 1.1082,                0.75777,                 1.0339,              0.0005545,              0.0005545,              0.0005545
                     12,                0.92132,                0.54192,                0.94565,                0.76563,                0.58645,                0.66166,                0.44468,                 1.1131,                0.75882,                 1.0299,               0.000505,               0.000505,               0.000505
                     13,                0.91086,                 0.5285,                0.94038,                0.77724,                 0.5873,                0.67064,                0.44342,                 1.1186,                 0.7469,                 1.0378,              0.0004555,              0.0004555,              0.0004555
                     14,                0.89926,                 0.5191,                0.93533,                0.78178,                0.58809,                0.67048,                0.44651,                 1.1049,                0.74148,                 1.0316,               0.000406,               0.000406,               0.000406
                     15,                0.88338,                0.50398,                0.92775,                0.77125,                0.59754,                0.67299,                0.45276,                 1.1098,                0.74874,                 1.0393,              0.0003565,              0.0003565,              0.0003565
                     16,                0.87682,                0.49828,                0.92751,                0.79154,                 0.5882,                0.67581,                0.45242,                 1.1031,                0.73847,                 1.0309,               0.000307,               0.000307,               0.000307
                     17,                0.86021,                0.48732,                0.91844,                0.77739,                0.60228,                0.68008,                0.45511,                  1.099,                0.72964,                 1.0329,              0.0002575,              0.0002575,              0.0002575
                     18,                 0.8521,                0.47979,                0.91596,                0.76922,                 0.6106,                0.68098,                0.45876,                 1.0959,                0.73375,                 1.0314,               0.000208,               0.000208,               0.000208
                     19,                0.83986,                0.46877,                0.91241,                0.76874,                0.61579,                0.68282,                0.46134,                 1.0878,                0.71906,                 1.0291,              0.0001585,              0.0001585,              0.0001585
                     20,                0.82662,                0.46011,                0.90755,                0.78708,                0.60435,                 0.6838,                0.46128,                 1.0846,                0.72142,                 1.0299,               0.000109,               0.000109,               0.000109
