Class,Precision,Recall,mAP50,mAP50-95
person,0.8866921825914948,0.5124703087885986,0.6546075093187965,0.3723415125238859
bicycle,0.749714915013674,0.6413043478260869,0.6836836571403854,0.44693957488322783
car,0.8790618729890866,0.7134911487059974,0.8211824418861522,0.5918939200082513
motorcycle,0.8088820330227364,0.7047619047619048,0.773363073605318,0.5202903856680103
bus,0.7490291583219889,0.5583756345177665,0.6069306995090036,0.4600699521512023
truck,0.7702887166510615,0.4703406354004649,0.5688339519808657,0.38505590474319007
