                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.88923,                0.51907,                0.93153,                0.74727,                0.61547,                0.67834,                0.45574,                 1.0868,                0.72314,                 1.0257,             0.00033249,             0.00033249,             0.00033249
                      2,                0.91464,                0.54734,                0.93844,                 0.7677,                0.58469,                0.66368,                0.44111,                 1.1067,                0.73882,                 1.0352,             0.00063286,             0.00063286,             0.00063286
                      3,                0.93922,                0.57001,                0.94824,                 0.7637,                0.58114,                0.65974,                0.43663,                 1.1121,                0.75711,                 1.0318,             0.00090024,             0.00090024,             0.00090024
                      4,                 0.9512,                0.58141,                0.95428,                0.73943,                0.60282,                0.66104,                0.44012,                 1.1051,                0.74796,                 1.0304,              0.0008515,              0.0008515,              0.0008515
                      5,                0.95169,                0.58298,                0.95653,                0.76058,                0.59215,                0.66629,                0.44459,                 1.1063,                0.74267,                 1.0264,              0.0008515,              0.0008515,              0.0008515
                      6,                0.94727,                0.57627,                 0.9546,                0.76495,                0.57839,                0.66127,                0.44467,                 1.1068,                0.76845,                 1.0289,               0.000802,               0.000802,               0.000802
                      7,                0.93617,                0.56563,                 0.9497,                0.78614,                0.58325,                0.67201,                0.44524,                  1.106,                 0.7394,                 1.0298,              0.0007525,              0.0007525,              0.0007525
                      8,                0.93349,                  0.564,                0.94565,                0.79474,                0.57988,                0.67019,                0.44812,                 1.0985,                0.73697,                 1.0273,               0.000703,               0.000703,               0.000703
                      9,                0.92309,                0.55147,                0.94357,                 0.7878,                0.58386,                0.66987,                0.44949,                    1.1,                0.73337,                 1.0285,              0.0006535,              0.0006535,              0.0006535
                     10,                0.91845,                 0.5474,                0.94145,                0.78743,                0.59107,                0.67938,                0.45443,                 1.0991,                0.73233,                 1.0254,               0.000604,               0.000604,               0.000604
                     11,                 0.9171,                0.53316,                0.94126,                0.77327,                0.59461,                0.67113,                 0.4474,                 1.1108,                0.73963,                 1.0356,              0.0005545,              0.0005545,              0.0005545
                     12,                0.90147,                0.52234,                0.93211,                 0.7394,                0.60448,                0.66543,                0.44319,                 1.1009,                0.74417,                 1.0251,               0.000505,               0.000505,               0.000505
                     13,                0.89398,                0.51321,                0.92932,                0.78688,                0.57719,                0.66663,                0.44667,                 1.0943,                0.73569,                 1.0218,              0.0004555,              0.0004555,              0.0004555
                     14,                0.88195,                0.50098,                0.92388,                0.76466,                0.59875,                0.67458,                0.45036,                  1.095,                0.72884,                 1.0239,               0.000406,               0.000406,               0.000406
                     15,                0.87281,                0.49278,                0.91998,                0.76586,                0.60171,                0.67836,                0.45541,                 1.0892,                0.72406,                 1.0233,              0.0003565,              0.0003565,              0.0003565
                     16,                0.85886,                0.48344,                0.91659,                0.76491,                0.60602,                0.67649,                0.45467,                 1.0809,                0.71203,                 1.0229,               0.000307,               0.000307,               0.000307
                     17,                0.84476,                0.46926,                0.90935,                0.78567,                0.59397,                0.67474,                0.45557,                 1.0819,                0.72314,                 1.0252,              0.0002575,              0.0002575,              0.0002575
                     18,                0.83461,                0.46178,                0.90872,                0.80602,                0.59187,                0.68038,                0.46088,                 1.0813,                0.71876,                 1.0254,               0.000208,               0.000208,               0.000208
                     19,                  0.823,                0.45431,                0.90211,                0.78165,                0.60984,                0.68101,                0.46236,                 1.0773,                0.71519,                 1.0264,              0.0001585,              0.0001585,              0.0001585
                     20,                0.81269,                0.44736,                 0.8997,                0.80643,                    0.6,                0.68438,                0.46232,                 1.0767,                 0.7104,                  1.027,               0.000109,               0.000109,               0.000109
