Class,Precision,Recall,mAP50,mAP50-95
person,0.7703777113171921,0.5166816952209198,0.59790872320456,0.3386992650399939
bicycle,0.6953234138222881,0.6153846153846154,0.692328741767997,0.41691378014571867
car,0.8354058263521982,0.6890442866473615,0.7747118312781556,0.5429655987924554
motorcycle,0.7243806928243576,0.7326732673267327,0.7469704897333884,0.49013820358919097
bus,0.7454359199833561,0.547945205479452,0.5804479351994977,0.43431038290296664
truck,0.7367165030390601,0.4249426099579348,0.5464387677387909,0.3339389916524597
