                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1269,                0.80088,                 1.0578,                0.64183,                0.48798,                0.53128,                0.33094,                 1.2645,                 1.0549,                 1.1106,             0.00032955,             0.00032955,             0.00032955
                      2,                 1.1661,                0.84587,                 1.0806,                0.58619,                0.47483,                0.49557,                0.30297,                 1.3264,                 1.0919,                 1.1354,             0.00063007,             0.00063007,             0.00063007
                      3,                 1.2175,                0.92358,                 1.1014,                0.63161,                0.43208,                0.46653,                 0.2807,                 1.3917,                 1.1868,                 1.1669,             0.00089759,             0.00089759,             0.00089759
                      4,                 1.2055,                0.89147,                 1.0983,                0.56619,                0.45355,                0.46477,                 0.2672,                 1.3472,                 1.1562,                 1.1716,              0.0008515,              0.0008515,              0.0008515
                      5,                 1.2034,                0.88056,                 1.0966,                0.58524,                0.44873,                 0.4799,                0.29501,                 1.3599,                 1.1393,                 1.1585,              0.0008515,              0.0008515,              0.0008515
                      6,                 1.1839,                0.86606,                 1.0877,                0.63243,                0.40561,                0.47078,                0.29307,                 1.3453,                 1.1222,                 1.1542,               0.000802,               0.000802,               0.000802
                      7,                 1.1831,                0.84455,                 1.0815,                 0.6408,                0.47574,                0.52104,                0.30857,                 1.3624,                 1.0786,                  1.163,              0.0007525,              0.0007525,              0.0007525
                      8,                 1.1492,                0.81304,                 1.0677,                0.63327,                 0.4788,                0.51108,                0.31594,                 1.3071,                 1.0584,                 1.1348,               0.000703,               0.000703,               0.000703
                      9,                 1.1334,                0.79074,                 1.0609,                0.70013,                0.47321,                  0.544,                0.33487,                 1.2915,                 1.0304,                 1.1257,              0.0006535,              0.0006535,              0.0006535
                     10,                 1.1044,                0.76224,                 1.0515,                0.69893,                0.50169,                0.55914,                0.35118,                 1.2794,                0.96496,                 1.1222,               0.000604,               0.000604,               0.000604
                     11,                 1.1132,                0.77116,                  1.058,                0.67965,                0.46315,                0.53363,                0.33316,                 1.2859,                 1.0368,                 1.1277,              0.0005545,              0.0005545,              0.0005545
                     12,                 1.1121,                0.74807,                 1.0567,                0.65257,                0.48587,                0.53939,                0.32801,                  1.317,                 1.0196,                 1.1369,               0.000505,               0.000505,               0.000505
                     13,                 1.1086,                0.74709,                 1.0497,                 0.6754,                0.49431,                  0.543,                0.34172,                 1.2739,                0.96443,                 1.1202,              0.0004555,              0.0004555,              0.0004555
                     14,                 1.0695,                0.71317,                 1.0365,                0.66553,                0.50775,                0.55001,                0.34501,                 1.2643,                 0.9741,                  1.111,               0.000406,               0.000406,               0.000406
                     15,                 1.0489,                0.69808,                 1.0229,                0.70664,                0.50308,                0.57038,                0.36083,                 1.2468,                 0.9464,                 1.1027,              0.0003565,              0.0003565,              0.0003565
                     16,                 1.0343,                0.67727,                 1.0167,                0.68647,                0.51639,                0.58154,                0.36609,                 1.2466,                0.95163,                 1.1144,               0.000307,               0.000307,               0.000307
                     17,                 1.0145,                0.65237,                 1.0107,                0.70496,                0.50835,                0.57613,                0.36205,                 1.2446,                0.92524,                 1.1138,              0.0002575,              0.0002575,              0.0002575
                     18,                0.99817,                0.63203,                0.99975,                0.75568,                0.52983,                0.59979,                0.37773,                 1.2366,                0.90256,                 1.1095,               0.000208,               0.000208,               0.000208
                     19,                0.97672,                0.61002,                0.98922,                0.73671,                0.54699,                0.61162,                0.38579,                 1.2197,                0.88866,                 1.1023,              0.0001585,              0.0001585,              0.0001585
                     20,                0.96412,                0.59485,                0.98873,                0.74576,                0.54153,                0.61552,                0.39307,                 1.2139,                0.88006,                  1.092,               0.000109,               0.000109,               0.000109
