person,bicycle,car,motorcycle,bus,truck
0.5815853710697194,0.3656606397419124,0.78312661997475,0.5997480952029359,0.2022081411433418,0.5937668366171063
0.6065828268020543,0.476271067176143,0.8115442641784348,0.7565117320860681,0.3383413415504629,0.6114550424746379
0.6143209392652551,0.5593578285319423,0.8085058034723328,0.729783885397148,0.3318748254515386,0.5684776097261091
0.6409784929354462,0.6286540033657199,0.8105170346418187,0.7646461720617541,0.4649877252142335,0.5968665276519731
0.6383310005370431,0.6295438470932391,0.8189014324470005,0.7575230971111362,0.5158706606412388,0.5692604234748703
0.6480484407810994,0.6326850533608913,0.8228642820867417,0.7604120534232385,0.5056061835384728,0.6122568873814416
0.6842524393773994,0.6302374559362346,0.83811551229077,0.7961649209333999,0.5488502686633269,0.6220364760167384
0.6744744481304769,0.697617990195482,0.8376741147662576,0.8126695431202628,0.5373306641691491,0.6340856148622211
0.6727122226505194,0.6808213548103883,0.8371126839367453,0.8196366208551442,0.5417335646171554,0.611440652154583
0.6840923115566298,0.6990026821988039,0.8399650386251819,0.8058435014258442,0.5726519438216096,0.6249860123448066
