Training Cycle,mAP50,Used Data
1,0.59005,1000
2,0.59871,2000
3,0.60512,3000
4,0.64987,4000
5,0.65844,5000
6,0.6666,6000
7,0.68718,7000
8,0.69362,8000
9,0.69483,9000
10,0.70442,10000
