person,bicycle,car,motorcycle,bus,truck
0.5733738011099179,0.4599675878788868,0.7611322355200961,0.6906114746428187,0.500123395180826,0.434689306263134
0.5885945635409544,0.5861412757357765,0.7906984071662067,0.6722034009092384,0.5191938649758149,0.4981082158882863
0.6147545160375537,0.5807630902593357,0.8065570227381926,0.7225491732235096,0.5380389565902106,0.5230083937165942
0.6184788952887578,0.6277872179744415,0.8052042868136247,0.7331292482106037,0.5845025243886023,0.5533946512414727
0.6251688788956926,0.6728250030269676,0.811349456896935,0.7750523279620053,0.5663129850747965,0.5475062313757144
0.6443581927663298,0.6413712019973334,0.8181985515118286,0.7800616601874086,0.5574814876454327,0.5577445225361215
0.6565418765360065,0.6617144306222162,0.8209903540174975,0.7691192641263053,0.5461454122157903,0.5775524337773297
0.6624066258156196,0.6533233996146274,0.8288352694866659,0.7664348717979772,0.58885957245263,0.5810681250236436
0.6673892710087559,0.6529448769273343,0.8317897161504734,0.758353104848892,0.5932128309565383,0.5822225581159411
0.6635896145157022,0.6877105252551667,0.836127049482154,0.7730416113195786,0.6086020581875571,0.5847606300130592
