person,bicycle,car,motorcycle,bus,truck
0.5208825931681448,0.2999056937635971,0.6157962203108414,0.5177590773454493,0.3066477939511118,0.2990429793965536
0.4974432339653885,0.4439108391826922,0.6654327688160582,0.4814349426240109,0.370683758072775,0.302329084960459
0.5225196155183229,0.4071153224108012,0.6714470743910624,0.5399486788742172,0.2540951604027257,0.2973274969083397
0.5516606372190312,0.4563105834777733,0.6704232819861405,0.5607752137420096,0.2138793403670328,0.3195437767782689
0.5431137928773649,0.420409239316236,0.7007045369677622,0.578075255309512,0.2912560758904993,0.347305042245102
0.5601710540549625,0.4709838268762401,0.708430187010253,0.5784835217925843,0.3259169929115724,0.3592727200649804
0.5552581070911249,0.5196022013916436,0.7163021163338504,0.6199819801795379,0.3478605042236123,0.3639410973753678
0.567141410520402,0.5546562581707651,0.7163928751672384,0.6313400751008255,0.3620995993189339,0.3852668610102822
0.5827680782280911,0.5381935480453415,0.7278545197044696,0.6552601423745991,0.351858652361835,0.3864902211499026
0.5894651803755299,0.5149987689552091,0.7328540805219702,0.6621110351182837,0.3949938550629787,0.3927600737178068
