Training Cycle,mAP50,Used Data
1,0.56904,1000
2,0.58963,2000
3,0.61809,3000
4,0.65079,4000
5,0.67102,5000
6,0.67146,6000
7,0.67451,7000
8,0.68129,8000
9,0.69319,9000
10,0.69623,10000
