Training Cycle,mAP50,Used Data
1,0.45085,100
2,0.47244,200
3,0.50888,300
4,0.50913,400
5,0.54752,500
6,0.55204,600
7,0.548,700
8,0.54654,800
9,0.56275,900
10,0.5566,1000
