Training Cycle,mAP50,Used Data
1,0.49337,400
2,0.50213,800
3,0.5624,1200
4,0.57581,1600
5,0.59538,2000
6,0.60939,2400
7,0.62504,2800
8,0.62887,3200
9,0.63087,3600
10,0.63537,4000
