Training Cycle,mAP50,Used Data
1,0.52196,700
2,0.61552,1400
3,0.65466,2100
4,0.65343,2800
5,0.65828,3500
6,0.66315,4200
7,0.67164,4900
8,0.6838,5600
9,0.68438,6300
10,0.68458,7000
