Index,mAP50
1,0.39698
2,0.33533
3,0.24146
4,0.38526
5,0.24606
6,0.39657
7,0.39872
8,0.40245
9,0.4287
10,0.43623
11,0.43284
12,0.4537
13,0.43056
14,0.44464
15,0.47386
16,0.50015
17,0.51415
18,0.50302
19,0.52766
20,0.55912
21,0.49159
22,0.45355
23,0.41897
24,0.40648
25,0.43265
26,0.45251
27,0.45502
28,0.48935
29,0.47457
30,0.49734
31,0.50248
32,0.4737
33,0.479
34,0.53072
35,0.4986
36,0.52677
37,0.53447
38,0.53681
39,0.54156
40,0.5622
41,0.52361
42,0.52319
43,0.46761
44,0.45293
45,0.48162
46,0.52285
47,0.49238
48,0.51453
49,0.52964
50,0.52604
51,0.51896
52,0.52026
53,0.52792
54,0.54241
55,0.54682
56,0.55331
57,0.57961
58,0.57737
59,0.57568
60,0.57967
61,0.54338
62,0.52851
63,0.51072
64,0.48301
65,0.52538
66,0.52039
67,0.52641
68,0.53424
69,0.50824
70,0.54035
71,0.55673
72,0.54989
73,0.55104
74,0.56902
75,0.57494
76,0.57469
77,0.58774
78,0.59261
79,0.58744
80,0.5876
81,0.56677
82,0.55503
83,0.5434
84,0.52885
85,0.52564
86,0.56822
87,0.53586
88,0.5444
89,0.55743
90,0.56872
91,0.5484
92,0.55325
93,0.55344
94,0.57188
95,0.56366
96,0.58233
97,0.58195
98,0.5825
99,0.59185
100,0.59395
101,0.58334
102,0.56443
103,0.55239
104,0.55804
105,0.56386
106,0.56066
107,0.56748
108,0.56796
109,0.57849
110,0.57488
111,0.57748
112,0.57383
113,0.57594
114,0.57422
115,0.59261
116,0.59241
117,0.6038
118,0.59912
119,0.59963
120,0.60658
121,0.60147
122,0.58234
123,0.57413
124,0.57614
125,0.58095
126,0.57804
127,0.57779
128,0.58893
129,0.60411
130,0.59009
131,0.59119
132,0.59148
133,0.59277
134,0.60314
135,0.5948
136,0.61707
137,0.61693
138,0.60805
139,0.60901
140,0.617
141,0.60965
142,0.5998
143,0.59364
144,0.59274
145,0.58139
146,0.59385
147,0.59465
148,0.60005
149,0.60766
150,0.60047
151,0.6109
152,0.59726
153,0.59279
154,0.59854
155,0.60702
156,0.61341
157,0.61579
158,0.62164
159,0.62364
160,0.61921
161,0.6224
162,0.60679
163,0.59013
164,0.5871
165,0.59224
166,0.59151
167,0.5989
168,0.60876
169,0.60927
170,0.60953
171,0.59821
172,0.61361
173,0.61017
174,0.61014
175,0.61294
176,0.61982
177,0.62124
178,0.62639
179,0.623
180,0.62512
181,0.62996
182,0.60814
183,0.61284
184,0.59934
185,0.60606
186,0.60705
187,0.60622
188,0.61242
189,0.62825
190,0.61622
191,0.61097
192,0.61754
193,0.60594
194,0.61139
195,0.61568
196,0.61512
197,0.6236
198,0.62901
199,0.62557
200,0.62661
