Index,mAP50
1,0.33721
2,0.30085
3,0.33388
4,0.25984
5,0.35497
6,0.39757
7,0.38966
8,0.44607
9,0.48046
10,0.45121
11,0.41302
12,0.46089
13,0.45352
14,0.47149
15,0.45579
16,0.50045
17,0.49946
18,0.49443
19,0.50771
20,0.52196
21,0.53128
22,0.49557
23,0.46653
24,0.46477
25,0.4799
26,0.47078
27,0.52104
28,0.51108
29,0.544
30,0.55914
31,0.53363
32,0.53939
33,0.543
34,0.55001
35,0.57038
36,0.58154
37,0.57613
38,0.59979
39,0.61162
40,0.61552
41,0.59064
42,0.55031
43,0.54367
44,0.57445
45,0.57988
46,0.58701
47,0.57391
48,0.58995
49,0.60182
50,0.60281
51,0.594
52,0.61204
53,0.61945
54,0.62486
55,0.61484
56,0.62078
57,0.64011
58,0.64638
59,0.65466
60,0.64853
61,0.61825
62,0.59609
63,0.58534
64,0.55595
65,0.58276
66,0.59616
67,0.59054
68,0.60947
69,0.60614
70,0.6344
71,0.6033
72,0.60204
73,0.61064
74,0.62058
75,0.62919
76,0.62454
77,0.63576
78,0.64113
79,0.65343
80,0.64417
81,0.63941
82,0.61782
83,0.59886
84,0.5886
85,0.59968
86,0.61414
87,0.61556
88,0.624
89,0.62055
90,0.62572
91,0.60601
92,0.61797
93,0.62145
94,0.64884
95,0.64312
96,0.64525
97,0.64134
98,0.65356
99,0.65471
100,0.65828
101,0.64504
102,0.64317
103,0.61541
104,0.63969
105,0.62396
106,0.64611
107,0.63641
108,0.63549
109,0.6496
110,0.64504
111,0.6455
112,0.64907
113,0.6483
114,0.63896
115,0.65237
116,0.64887
117,0.65535
118,0.6596
119,0.66315
120,0.66134
121,0.65789
122,0.64937
123,0.63586
124,0.63546
125,0.65249
126,0.64719
127,0.65294
128,0.65294
129,0.66196
130,0.6551
131,0.66071
132,0.65334
133,0.65112
134,0.65813
135,0.66062
136,0.67077
137,0.67139
138,0.67031
139,0.66978
140,0.67164
141,0.66636
142,0.65292
143,0.63302
144,0.64139
145,0.6478
146,0.65334
147,0.66584
148,0.64841
149,0.65424
150,0.6575
151,0.66152
152,0.66166
153,0.67064
154,0.67048
155,0.67299
156,0.67581
157,0.68008
158,0.68098
159,0.68282
160,0.6838
161,0.67834
162,0.66368
163,0.65974
164,0.66104
165,0.66629
166,0.66127
167,0.67201
168,0.67019
169,0.66987
170,0.67938
171,0.67113
172,0.66543
173,0.66663
174,0.67458
175,0.67836
176,0.67649
177,0.67474
178,0.68038
179,0.68101
180,0.68438
181,0.6787
182,0.66456
183,0.65007
184,0.65664
185,0.65468
186,0.66669
187,0.66392
188,0.67902
189,0.67045
190,0.67437
191,0.66854
192,0.67123
193,0.67249
194,0.6688
195,0.67728
196,0.68177
197,0.67604
198,0.68212
199,0.68432
200,0.68458
