person,bicycle,car,motorcycle,bus,truck
0.5495886587732441,0.5699803519673733,0.7872310243023871,0.7004538093283159,0.4357254544765466,0.3586878372455389
0.5853946503219984,0.6065296611948326,0.7985758627524235,0.6752893640736944,0.4785534484823553,0.3969731222765805
0.591746902833983,0.5927091848963665,0.8005916126534556,0.7262753800951705,0.4995393150721109,0.4932572807014861
0.6188630672567152,0.6723208618005428,0.8085853532652525,0.7644273558060611,0.5298677554712876,0.5164348276361198
0.6274982960032317,0.6991185126417223,0.8136762504589676,0.7775524280962893,0.5772720108114858,0.5353246158817403
0.6407896987975411,0.6485301302600516,0.8146100192517266,0.7984255805313669,0.573092545909498,0.5446727602288302
0.652310085220446,0.6786355330481857,0.819684017405263,0.7797730824858491,0.5505703751645007,0.5682831691199557
0.6610725612148549,0.6784833654604671,0.8239129027766839,0.7838408237694268,0.5720507387098108,0.5669143636321587
0.6602180664226477,0.6835551698815917,0.8296822018626802,0.807968561447938,0.5940942590770998,0.5857121499578738
0.6604273726181943,0.7069366270150544,0.8318001441087813,0.8203138206084483,0.5769133500021373,0.5893961509864865
