Training Cycle,mAP50,Used Data
1,0.55912,400
2,0.5622,800
3,0.57967,1200
4,0.59261,1600
5,0.59395,2000
6,0.60658,2400
7,0.61707,2800
8,0.62364,3200
9,0.62639,3600
10,0.62996,4000
