Index,mAP50
1,0.28661
2,0.33604
3,0.35075
4,0.35018
5,0.38713
6,0.38978
7,0.36634
8,0.35726
9,0.36484
10,0.37838
11,0.35201
12,0.36891
13,0.41814
14,0.42963
15,0.44412
16,0.46197
17,0.4539
18,0.45377
19,0.46221
20,0.47083
21,0.39771
22,0.43449
23,0.40987
24,0.41171
25,0.41298
26,0.37542
27,0.36114
28,0.38888
29,0.3818
30,0.32886
31,0.36569
32,0.35868
33,0.39414
34,0.40329
35,0.42005
36,0.45244
37,0.45093
38,0.45551
39,0.45263
40,0.46163
41,0.44696
42,0.4335
43,0.39802
44,0.41135
45,0.43856
46,0.41972
47,0.35606
48,0.37687
49,0.40847
50,0.41831
51,0.35976
52,0.40275
53,0.42293
54,0.44859
55,0.45199
56,0.43696
57,0.46266
58,0.46664
59,0.47604
60,0.47904
61,0.43158
62,0.4708
63,0.37635
64,0.38411
65,0.40219
66,0.38025
67,0.45029
68,0.41768
69,0.44189
70,0.46728
71,0.45208
72,0.44793
73,0.46212
74,0.45284
75,0.47182
76,0.49195
77,0.48786
78,0.49468
79,0.49327
80,0.49792
81,0.48079
82,0.48069
83,0.4573
84,0.4297
85,0.4449
86,0.43322
87,0.4621
88,0.44618
89,0.46927
90,0.47576
91,0.45294
92,0.46221
93,0.49185
94,0.50345
95,0.50721
96,0.51458
97,0.52028
98,0.52399
99,0.52597
100,0.53872
101,0.50861
102,0.50014
103,0.46496
104,0.48526
105,0.46435
106,0.4395
107,0.47583
108,0.4988
109,0.51036
110,0.50373
111,0.47608
112,0.50538
113,0.49293
114,0.51071
115,0.51072
116,0.52229
117,0.52485
118,0.5332
119,0.54453
120,0.54456
121,0.52708
122,0.51924
123,0.49383
124,0.47527
125,0.47782
126,0.49041
127,0.49252
128,0.49401
129,0.50509
130,0.52925
131,0.50796
132,0.50818
133,0.51721
134,0.52118
135,0.52708
136,0.53679
137,0.53478
138,0.54459
139,0.55684
140,0.55702
141,0.53355
142,0.51918
143,0.51553
144,0.51979
145,0.51357
146,0.51493
147,0.49077
148,0.50724
149,0.51033
150,0.53364
151,0.53238
152,0.52902
153,0.53485
154,0.54475
155,0.53896
156,0.55085
157,0.55582
158,0.55959
159,0.56047
160,0.5666
161,0.54463
162,0.50836
163,0.50068
164,0.50762
165,0.51123
166,0.50533
167,0.51432
168,0.53312
169,0.51372
170,0.53414
171,0.53203
172,0.51316
173,0.53399
174,0.52451
175,0.54773
176,0.54171
177,0.54471
178,0.55649
179,0.55829
180,0.56369
181,0.55373
182,0.53582
183,0.52325
184,0.51068
185,0.50886
186,0.52462
187,0.51466
188,0.53979
189,0.52883
190,0.54707
191,0.5295
192,0.52835
193,0.52661
194,0.54192
195,0.549
196,0.54539
197,0.55791
198,0.55293
199,0.56449
200,0.56863
