person,bicycle,car,motorcycle,bus,truck
0.5424133738406681,0.4985872855858378,0.64538772082768,0.6177388333645626,0.2910939862276896,0.3979020345792595
0.5477584308089136,0.5252086886802908,0.7194121419295831,0.596060999842804,0.3381600858964921,0.4933902176562275
0.5668191788944598,0.5625936175728822,0.7601385624196819,0.6649410202435774,0.4640213057073209,0.4678643660604166
0.5699510238446571,0.5522264486691877,0.7755574058257719,0.706950994284358,0.4653549675988048,0.5054389229906263
0.5916141860886088,0.5578488424243058,0.7867919475448852,0.6899262178067463,0.5091356175998983,0.5114590582403835
0.599303553497623,0.6005378550600635,0.7851631236268187,0.7533465651216507,0.5346055991144351,0.5189139182061839
0.6115767812933366,0.6230041705797942,0.7870589290852101,0.7746952244702845,0.5200069038453148,0.527978631428494
0.6113591667019045,0.6715896833010369,0.7906805532729214,0.7792441919271175,0.5104545462748497,0.5230940616580934
0.6190135780697146,0.6910766540339705,0.7865917542904669,0.7814596569528104,0.5139733280794766,0.5332739410717362
0.6277640983966526,0.6652220871668586,0.7991611263698659,0.7809658873045683,0.5358829070721942,0.5358076642137586
