Training Cycle,mAP50,Used Data
1,0.58815,700
2,0.62029,1400
3,0.65113,2100
4,0.64928,2800
5,0.65344,3500
6,0.65008,4200
7,0.66365,4900
8,0.66296,5600
9,0.67099,6300
10,0.67818,7000
