Index,mAP50
1,0.30876
2,0.40717
3,0.39949
4,0.4062
5,0.37975
6,0.37157
7,0.35431
8,0.36166
9,0.29731
10,0.32815
11,0.27649
12,0.32123
13,0.34828
14,0.36838
15,0.39054
16,0.39457
17,0.41564
18,0.44109
19,0.45085
20,0.44408
21,0.4352
22,0.42607
23,0.3398
24,0.39677
25,0.40451
26,0.38515
27,0.34088
28,0.38195
29,0.37924
30,0.38722
31,0.39692
32,0.42303
33,0.44507
34,0.42985
35,0.4209
36,0.44421
37,0.45296
38,0.45723
39,0.47244
40,0.47186
41,0.47773
42,0.43767
43,0.42989
44,0.4481
45,0.39335
46,0.3923
47,0.41881
48,0.43822
49,0.43268
50,0.42788
51,0.42891
52,0.43747
53,0.4278
54,0.46524
55,0.47637
56,0.47771
57,0.4823
58,0.48471
59,0.50173
60,0.50888
61,0.48699
62,0.4399
63,0.45724
64,0.43089
65,0.46077
66,0.43504
67,0.41406
68,0.43389
69,0.44432
70,0.47334
71,0.46473
72,0.45693
73,0.47757
74,0.48122
75,0.48529
76,0.47903
77,0.4919
78,0.49488
79,0.49771
80,0.50913
81,0.49603
82,0.47476
83,0.43168
84,0.43971
85,0.45203
86,0.46341
87,0.45043
88,0.46358
89,0.47657
90,0.48509
91,0.49866
92,0.49749
93,0.5046
94,0.49253
95,0.5249
96,0.52193
97,0.52258
98,0.53193
99,0.5442
100,0.54752
101,0.51832
102,0.49119
103,0.45521
104,0.45808
105,0.46154
106,0.4777
107,0.48055
108,0.4709
109,0.47913
110,0.49768
111,0.46892
112,0.48828
113,0.5063
114,0.52028
115,0.52375
116,0.53791
117,0.51775
118,0.53178
119,0.54354
120,0.55204
121,0.52532
122,0.48987
123,0.47464
124,0.50377
125,0.49554
126,0.49672
127,0.49082
128,0.49606
129,0.50493
130,0.51609
131,0.49967
132,0.51459
133,0.52511
134,0.51766
135,0.52884
136,0.53746
137,0.53972
138,0.54127
139,0.548
140,0.54786
141,0.53884
142,0.50983
143,0.48958
144,0.47716
145,0.49049
146,0.49297
147,0.5105
148,0.50068
149,0.51208
150,0.51786
151,0.50089
152,0.52242
153,0.52268
154,0.52296
155,0.53658
156,0.53293
157,0.53732
158,0.53625
159,0.54432
160,0.54654
161,0.53708
162,0.51823
163,0.49901
164,0.51245
165,0.50925
166,0.50886
167,0.52542
168,0.52383
169,0.52529
170,0.52995
171,0.51843
172,0.52478
173,0.53386
174,0.53061
175,0.54188
176,0.54879
177,0.55078
178,0.54635
179,0.5551
180,0.56275
181,0.54389
182,0.52372
183,0.50301
184,0.52658
185,0.51095
186,0.52564
187,0.52004
188,0.53024
189,0.54644
190,0.54625
191,0.51863
192,0.52804
193,0.53362
194,0.53837
195,0.54729
196,0.55203
197,0.54979
198,0.55359
199,0.5523
200,0.5566
