Training Cycle,mAP50,Used Data
1,0.58456,430
2,0.62231,818
3,0.64814,1302
4,0.66917,1861
5,0.66976,2359
6,0.68183,2946
7,0.67518,3454
8,0.68323,3987
9,0.6806,4351
10,0.67903,4706
