Training Cycle,mAP50,Used Data
1,0.49532,604
2,0.56491,1009
3,0.58662,1408
4,0.62286,1829
5,0.62697,2431
6,0.64019,2871
7,0.64012,3461
8,0.65345,3912
9,0.65399,4428
10,0.6513,4933
