Training Cycle,mAP50,Used Data
1,0.47083,100
2,0.46163,200
3,0.47904,300
4,0.49792,400
5,0.53872,500
6,0.54456,600
7,0.55702,700
8,0.5666,800
9,0.56369,900
10,0.56863,1000
