Index,mAP50
1,0.3469
2,0.2825
3,0.23898
4,0.23972
5,0.24841
6,0.34534
7,0.37849
8,0.38701
9,0.41175
10,0.39783
11,0.39225
12,0.39404
13,0.40847
14,0.40902
15,0.42756
16,0.46551
17,0.47473
18,0.48421
19,0.48465
20,0.49337
21,0.44223
22,0.43855
23,0.38695
24,0.40743
25,0.38849
26,0.39859
27,0.44259
28,0.45754
29,0.46852
30,0.44791
31,0.45769
32,0.45174
33,0.47836
34,0.48017
35,0.49133
36,0.48669
37,0.49058
38,0.49421
39,0.50119
40,0.50213
41,0.51962
42,0.49087
43,0.48038
44,0.45033
45,0.4737
46,0.4726
47,0.48815
48,0.50202
49,0.46972
50,0.51818
51,0.51665
52,0.51247
53,0.51901
54,0.53064
55,0.53801
56,0.54219
57,0.53932
58,0.54948
59,0.5624
60,0.55767
61,0.54446
62,0.53077
63,0.49562
64,0.51057
65,0.51489
66,0.50463
67,0.52741
68,0.54176
69,0.54019
70,0.54159
71,0.5446
72,0.53408
73,0.53834
74,0.54097
75,0.55473
76,0.55716
77,0.5589
78,0.57371
79,0.5756
80,0.57581
81,0.56986
82,0.55235
83,0.53788
84,0.55166
85,0.53795
86,0.55733
87,0.55792
88,0.5696
89,0.55988
90,0.57087
91,0.56407
92,0.56272
93,0.56534
94,0.5812
95,0.58673
96,0.59217
97,0.58612
98,0.58895
99,0.59538
100,0.59486
101,0.59842
102,0.58188
103,0.55498
104,0.57624
105,0.56609
106,0.57055
107,0.57544
108,0.57932
109,0.58318
110,0.58954
111,0.56328
112,0.58625
113,0.58464
114,0.59734
115,0.59817
116,0.59646
117,0.60722
118,0.60658
119,0.60827
120,0.60939
121,0.60447
122,0.59687
123,0.59439
124,0.58322
125,0.58397
126,0.55829
127,0.60188
128,0.59239
129,0.59871
130,0.59985
131,0.58545
132,0.60222
133,0.6103
134,0.60975
135,0.60784
136,0.61671
137,0.60986
138,0.61688
139,0.62504
140,0.62329
141,0.60941
142,0.60321
143,0.58705
144,0.59362
145,0.5863
146,0.58302
147,0.60172
148,0.5996
149,0.59533
150,0.60621
151,0.59958
152,0.60748
153,0.60673
154,0.61249
155,0.62525
156,0.61996
157,0.61762
158,0.62235
159,0.62598
160,0.62887
161,0.63081
162,0.61661
163,0.60099
164,0.59287
165,0.60685
166,0.61047
167,0.60985
168,0.61861
169,0.61239
170,0.61595
171,0.60074
172,0.61545
173,0.61575
174,0.61821
175,0.6075
176,0.62629
177,0.6214
178,0.63087
179,0.62588
180,0.62712
181,0.62419
182,0.61581
183,0.59718
184,0.59768
185,0.60005
186,0.59969
187,0.61781
188,0.61421
189,0.62151
190,0.6176
191,0.6222
192,0.61819
193,0.621
194,0.62316
195,0.62751
196,0.62718
197,0.62325
198,0.63111
199,0.63321
200,0.63537
