person,bicycle,car,motorcycle,bus,truck
0.1781509755417833,0.1470516943678909,0.2526830752458611,0.278745216217226,0.2368297728671544,0.1809674740948716
0.5288432178802049,0.4879091918732254,0.7408165028732081,0.6957839247397236,0.4951577707269977,0.4667148866802745
0.5774290767223953,0.5578377255095058,0.7556402704357801,0.7359952501742385,0.5008964093578855,0.5367594898082513
0.58721451371945,0.5623561085968001,0.7732528673378796,0.7034346847417958,0.4715608497080673,0.5093226731071073
0.6241612000333564,0.5898043885176765,0.789555506779784,0.7398505673753757,0.4985387135596369,0.5274368556970084
0.6341794332528963,0.621320818102962,0.7947605352785572,0.7178083234330824,0.5360955594950222,0.5543225832392897
0.6273182714912978,0.6159188650721733,0.8106646091072552,0.735719006304108,0.556643129382033,0.5584474450689006
0.6198418601465563,0.6141836430610534,0.8109265159649752,0.7363387189444023,0.5833613983945289,0.5640913972323133
0.6289000227110677,0.6241479616019431,0.8244950278149741,0.7489366583291823,0.5808252802076591,0.5766237477783737
0.6281084017929192,0.6462409305802896,0.8197875137025377,0.7675707236356482,0.5690888414590509,0.5768746386376039
