Training Cycle,mAP50,Used Data
1,0.2116,492
2,0.5688,991
3,0.61051,1500
4,0.61518,1982
5,0.62659,2720
6,0.64373,3254
7,0.64974,3800
8,0.65764,4396
9,0.6591,4892
10,0.66762,5336
