Training Cycle,mAP50,Used Data
1,0.5327,700
2,0.5888,1400
3,0.63788,2100
4,0.65576,2800
5,0.66128,3500
6,0.67166,4200
7,0.67242,4900
8,0.67326,5600
9,0.68349,6300
10,0.68573,7000
