Training Cycle,mAP50,Used Data
1,0.50381,400
2,0.53953,800
3,0.58102,1200
4,0.59495,1600
5,0.60792,2000
6,0.63377,2400
7,0.64135,2800
8,0.64909,3200
9,0.65456,3600
10,0.65771,4000
