Training Cycle,mAP50,Used Data
1,0.58213,1000
2,0.64276,2000
3,0.67276,3000
4,0.68501,4000
5,0.68346,5000
6,0.69143,6000
7,0.68867,7000
8,0.69069,8000
9,0.6931,9000
10,0.69985,10000
