Training Cycle,mAP50,Used Data
1,0.4266,100
2,0.46065,200
3,0.44973,300
4,0.46256,400
5,0.48098,500
6,0.50018,600
7,0.52163,700
8,0.53682,800
9,0.53991,900
10,0.54739,1000
