person,bicycle,car,motorcycle,bus,truck
0.5093746278598639,0.4994044230348137,0.6865682303396773,0.5572580684543393,0.2964134895506288,0.415439237472385
0.5123246644635275,0.5407861229081892,0.7113316680969153,0.6179402409500496,0.2215093236945219,0.4103126783101685
0.5337079582458721,0.5629935252964624,0.7231669652035,0.6993031752282566,0.3469830859583442,0.482977476090982
0.5501408630716267,0.5827716674634459,0.7563233321256668,0.6627148056453398,0.3941018557343732,0.5011006040685864
0.5681194704143586,0.6080322994411449,0.7558357066476274,0.6978346712992243,0.4509047242633549,0.4992283246384733
0.5862355367502388,0.5964180685833429,0.7737192258952148,0.6979744800172494,0.4767194580928933,0.5269982344701092
0.6052511939151914,0.6594855435064217,0.7797817372854393,0.7296079854630533,0.4611823229391328,0.5157063829782057
0.6084505137165983,0.6485309788967449,0.7873789319405273,0.7462779093461289,0.4846657278740985,0.5035809418806044
0.616578023284972,0.6312654914007411,0.7876429586081165,0.7518330599447317,0.4848167930408732,0.5142089211837938
0.6149044329046319,0.6354321253872652,0.7946538922296043,0.7692938328600554,0.464078018232845,0.5413734566444803
