person,bicycle,car,motorcycle,bus,truck
0.4707429796168229,0.3125361771335083,0.7117628650762134,0.5800308394460054,0.4362073158885313,0.3167412291582708
0.5801160677726075,0.4849608113399906,0.7244040551730023,0.6213189003457029,0.5322806688254806,0.4502857679727952
0.6073688497926267,0.5221516192304928,0.7392027639477794,0.6865780644729516,0.4987160926768036,0.4732368655990197
0.6011646929949584,0.5750740182083985,0.7617813523784178,0.7185023750375187,0.5773784006196988,0.5109980948627313
0.5969106230756273,0.5722029265302139,0.7759410155961146,0.7040411308897403,0.5911571871747755,0.5242157020645614
0.6165114570342127,0.5845562143842967,0.7832320567945468,0.7153104444516712,0.5979900302477453,0.5452535886637059
0.615629312356901,0.6161928545192512,0.7828472173381432,0.7201481658781593,0.5620480849853887,0.5459887759190016
0.6214837310202673,0.6234614503818016,0.7920679508783156,0.7480266912660986,0.5894141900742803,0.546102153713394
0.6238708738669952,0.5941688207127013,0.7899695076377907,0.7549164023884524,0.6048865687726575,0.5473769254336613
0.6242960579922345,0.6141414728774498,0.7973621886765081,0.7560807016362844,0.5649619003948803,0.5477438495922722
