Class,Precision,Recall,mAP50,mAP50-95
person,0.8219986919541259,0.5260141093474426,0.6349144814121026,0.35434437600410423
bicycle,0.6844522451089496,0.628482972136223,0.6531265447597702,0.40993393007589896
car,0.8446090375656804,0.7054182745650267,0.799226442857556,0.5698983373329759
motorcycle,0.7903637219086783,0.6740088105726872,0.7515381861202366,0.5008094947956739
bus,0.6907342334460707,0.5447761194029851,0.6000637134630897,0.45479404110407984
truck,0.6960931770692854,0.4674922600619195,0.5394935472630797,0.34939108691165166
