                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94753,                0.58251,                0.96056,                0.73697,                0.58103,                0.64504,                0.42492,                 1.1353,                0.79918,                 1.0423,             0.00033207,             0.00033207,             0.00033207
                      2,                0.97614,                0.60988,                0.97057,                0.76215,                0.55146,                0.64317,                 0.4162,                 1.1488,                 0.8079,                 1.0427,             0.00063246,             0.00063246,             0.00063246
                      3,                 1.0142,                0.64479,                  0.987,                0.73881,                0.54981,                0.61541,                  0.403,                 1.1617,                0.83651,                 1.0514,             0.00089986,             0.00089986,             0.00089986
                      4,                 1.0187,                0.65412,                0.98963,                0.76925,                0.55671,                0.63969,                0.41622,                 1.1654,                0.81241,                 1.0547,              0.0008515,              0.0008515,              0.0008515
                      5,                 1.0251,                0.66143,                0.99066,                0.73598,                0.56053,                0.62396,                0.40886,                 1.1611,                 0.8111,                 1.0553,              0.0008515,              0.0008515,              0.0008515
                      6,                 1.0157,                0.64635,                0.98489,                0.75863,                0.57214,                0.64611,                0.42272,                 1.1467,                0.79808,                 1.0467,               0.000802,               0.000802,               0.000802
                      7,                 1.0095,                0.63873,                0.98448,                0.76979,                0.55216,                0.63641,                0.41514,                 1.1599,                0.80589,                 1.0533,              0.0007525,              0.0007525,              0.0007525
                      8,                0.99621,                0.62934,                0.97883,                0.74418,                0.54631,                0.63549,                0.41607,                  1.155,                0.80116,                 1.0474,               0.000703,               0.000703,               0.000703
                      9,                0.98565,                0.61769,                0.97727,                0.76087,                0.56973,                 0.6496,                0.42617,                  1.145,                0.79678,                 1.0439,              0.0006535,              0.0006535,              0.0006535
                     10,                0.97256,                0.60504,                0.96901,                0.78127,                0.56422,                0.64504,                0.42295,                 1.1421,                0.80167,                 1.0438,               0.000604,               0.000604,               0.000604
                     11,                  0.971,                0.59524,                0.97245,                0.77404,                0.56734,                 0.6455,                0.42228,                 1.1506,                0.79384,                 1.0441,              0.0005545,              0.0005545,              0.0005545
                     12,                0.96431,                0.58065,                0.96811,                0.78423,                0.56647,                0.64907,                0.42311,                 1.1494,                0.77869,                 1.0508,               0.000505,               0.000505,               0.000505
                     13,                0.95025,                0.56856,                0.96472,                0.79167,                0.54861,                 0.6483,                0.42966,                 1.1524,                0.79685,                 1.0472,              0.0004555,              0.0004555,              0.0004555
                     14,                0.94096,                0.56129,                0.95797,                0.72936,                0.57528,                0.63896,                0.42049,                 1.1428,                0.80669,                 1.0479,               0.000406,               0.000406,               0.000406
                     15,                0.92487,                0.54763,                0.94893,                0.73902,                0.57379,                0.65237,                0.42546,                 1.1432,                0.78676,                 1.0487,              0.0003565,              0.0003565,              0.0003565
                     16,                0.91008,                0.53409,                 0.9468,                0.75803,                0.56806,                0.64887,                0.42868,                 1.1359,                0.77558,                 1.0443,               0.000307,               0.000307,               0.000307
                     17,                0.89895,                0.52035,                0.94082,                0.75842,                0.56665,                0.65535,                0.43241,                 1.1288,                0.76835,                   1.04,              0.0002575,              0.0002575,              0.0002575
                     18,                0.88659,                0.50947,                0.93475,                0.74912,                0.59094,                 0.6596,                0.43843,                 1.1259,                0.76584,                 1.0385,               0.000208,               0.000208,               0.000208
                     19,                0.87277,                0.49846,                0.93079,                0.75806,                0.59002,                0.66315,                0.43901,                 1.1201,                0.75365,                 1.0442,              0.0001585,              0.0001585,              0.0001585
                     20,                0.85931,                0.48683,                0.92391,                0.74857,                0.59358,                0.66134,                0.43659,                 1.1177,                0.75286,                 1.0389,               0.000109,               0.000109,               0.000109
