                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.87722,                0.51173,                0.92294,                0.79121,                0.59905,                 0.6787,                0.46059,                 1.0785,                0.71747,                 1.0202,             0.00033257,             0.00033257,             0.00033257
                      2,                 0.8997,                0.53284,                0.93364,                0.75956,                0.59485,                0.66456,                0.44566,                 1.0945,                0.72756,                 1.0305,             0.00063294,             0.00063294,             0.00063294
                      3,                0.92657,                0.55695,                0.94298,                0.74535,                0.58156,                0.65007,                0.43051,                 1.1078,                0.77478,                 1.0332,             0.00090031,             0.00090031,             0.00090031
                      4,                0.93836,                0.56703,                0.94583,                0.75502,                0.58886,                0.65664,                0.43324,                 1.1169,                0.76219,                 1.0384,              0.0008515,              0.0008515,              0.0008515
                      5,                 0.9397,                0.56882,                0.94791,                0.75478,                0.59489,                0.65468,                0.43892,                 1.1043,                0.74677,                 1.0298,              0.0008515,              0.0008515,              0.0008515
                      6,                0.93395,                0.56097,                0.94389,                0.76128,                0.59275,                0.66669,                0.44634,                 1.1071,                0.74203,                 1.0321,               0.000802,               0.000802,               0.000802
                      7,                0.92759,                0.55674,                0.94268,                0.77626,                 0.5948,                0.66392,                0.44407,                 1.0962,                0.73235,                 1.0285,              0.0007525,              0.0007525,              0.0007525
                      8,                0.92028,                0.55103,                0.93987,                0.78868,                0.60103,                0.67902,                0.45184,                 1.0993,                0.72714,                 1.0362,               0.000703,               0.000703,               0.000703
                      9,                0.91049,                0.53929,                0.93707,                0.78168,                0.59839,                0.67045,                0.44916,                 1.0896,                0.72912,                 1.0261,              0.0006535,              0.0006535,              0.0006535
                     10,                0.90578,                 0.5344,                0.93439,                0.77159,                0.60405,                0.67437,                0.45353,                 1.0896,                0.72362,                 1.0303,               0.000604,               0.000604,               0.000604
                     11,                0.90123,                0.51782,                0.93125,                0.76541,                0.59481,                0.66854,                 0.4478,                 1.1038,                0.74065,                 1.0353,              0.0005545,              0.0005545,              0.0005545
                     12,                 0.8906,                0.50701,                0.92694,                0.76321,                0.60277,                0.67123,                0.44891,                 1.1021,                0.73234,                 1.0301,               0.000505,               0.000505,               0.000505
                     13,                0.87858,                0.49872,                0.92163,                0.76448,                0.59935,                0.67249,                0.45164,                 1.0903,                0.73161,                 1.0301,              0.0004555,              0.0004555,              0.0004555
                     14,                0.86929,                 0.4902,                0.91849,                0.76664,                  0.603,                 0.6688,                0.45138,                 1.0882,                0.72755,                 1.0251,               0.000406,               0.000406,               0.000406
                     15,                0.85723,                0.48051,                0.91368,                0.78972,                0.61026,                0.67728,                0.45688,                 1.0876,                0.72326,                 1.0294,              0.0003565,              0.0003565,              0.0003565
                     16,                0.84293,                0.47025,                0.90915,                0.79078,                 0.6111,                0.68177,                0.45961,                 1.0861,                0.71506,                 1.0294,               0.000307,               0.000307,               0.000307
                     17,                 0.8353,                0.46256,                0.90725,                 0.7737,                0.61232,                0.67604,                0.45636,                 1.0819,                 0.7163,                 1.0282,              0.0002575,              0.0002575,              0.0002575
                     18,                0.82332,                0.45398,                0.90164,                0.78573,                 0.6036,                0.68212,                0.46513,                 1.0759,                 0.7124,                 1.0276,               0.000208,               0.000208,               0.000208
                     19,                0.81261,                0.44581,                0.89697,                0.79533,                0.61217,                0.68432,                0.46538,                 1.0694,                0.70779,                 1.0262,              0.0001585,              0.0001585,              0.0001585
                     20,                0.80075,                0.43574,                0.89219,                0.80112,                0.60933,                0.68458,                0.46476,                 1.0701,                0.71032,                 1.0281,               0.000109,               0.000109,               0.000109
