Class,Precision,Recall,mAP50,mAP50-95
person,0.8580953290551832,0.5404309975742565,0.6611336729148419,0.3746830069016925
bicycle,0.7590505258098101,0.6547619047619048,0.6967990569125242,0.4607606509105929
car,0.859622922871116,0.7321658519427144,0.8210772751759225,0.5928087083183823
motorcycle,0.823454809473723,0.7077363896848138,0.7720757226062296,0.526533436170425
bus,0.7349679893654775,0.5621251586056223,0.5930990503737885,0.4666536908581144
truck,0.7357854430620182,0.4772313296903461,0.5606182153624268,0.3759624644964008
